Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.50     0.00   600048     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.50     0.00   600048     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::_M_max_size() const
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::operator()<int const&>(int const&) const
  0.00      0.50     0.00   600048     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::deallocate(std::allocator<std::_Rb_tree_node<int> >&, std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.50     0.00   600048     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::destroy<int>(std::allocator<std::_Rb_tree_node<int> >&, int*)
  0.00      0.50     0.00   600048     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::construct<int, int const&>(std::allocator<std::_Rb_tree_node<int> >&, int*, int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::_Alloc_node(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_node()
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_put_node(std::_Rb_tree_node<int>*)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_drop_node(std::_Rb_tree_node<int>*)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_equal<int const&>(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  void std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_construct_node<int const&>(std::_Rb_tree_node<int>*, int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_equal_pos(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::insert(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node<int>*& std::forward<std::_Rb_tree_node<int>*&>(std::remove_reference<std::_Rb_tree_node<int>*&>::type&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.50     0.00   500282     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.50     0.00   499788     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::begin() const
  0.00      0.50     0.00   300019     0.00     0.00  Graph::addEdge(int, int)
  0.00      0.50     0.00   300006     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&)
  0.00      0.50     0.00   300006     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&)
  0.00      0.50     0.00   300006     0.00     0.00  std::iterator_traits<std::_Rb_tree_const_iterator<int> >::iterator_category std::__iterator_category<std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int> const&)
  0.00      0.50     0.00   300006     0.00     0.00  std::_Rb_tree_const_iterator<int> std::find<std::_Rb_tree_const_iterator<int>, int>(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, int const&)
  0.00      0.50     0.00   300006     0.00     0.00  std::_Rb_tree_const_iterator<int> std::__find_if<std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const>)
  0.00      0.50     0.00   300006     0.00     0.00  std::_Rb_tree_const_iterator<int> std::__find_if<std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::input_iterator_tag)
  0.00      0.50     0.00   300006     0.00     0.00  std::operator==(std::_Rb_tree_const_iterator<int> const&, std::_Rb_tree_const_iterator<int> const&)
  0.00      0.50     0.00   200070     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >* std::__addressof<std::multiset<int, std::less<int>, std::allocator<int> > >(std::multiset<int, std::less<int>, std::allocator<int> >&)
  0.00      0.50     0.00   100035     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::new_allocator()
  0.00      0.50     0.00   100035     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::~new_allocator()
  0.00      0.50     0.00   100035     0.00     0.00  std::allocator<std::_Rb_tree_node<int> >::allocator()
  0.00      0.50     0.00   100035     0.00     0.00  std::allocator<std::_Rb_tree_node<int> >::~allocator()
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree_header::_M_reset()
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree_header::_Rb_tree_header()
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree_key_compare<std::less<int> >::_Rb_tree_key_compare()
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, true>::_Rb_tree_impl()
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree_impl<std::less<int>, true>::~_Rb_tree_impl()
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_erase(std::_Rb_tree_node<int>*)
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Rb_tree()
  0.00      0.50     0.00   100035     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::~_Rb_tree()
  0.00      0.50     0.00   100035     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::multiset()
  0.00      0.50     0.00   100035     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::~multiset()
  0.00      0.50     0.00   100035     0.00     0.00  void std::_Construct<std::multiset<int, std::less<int>, std::allocator<int> >>(std::multiset<int, std::less<int>, std::allocator<int> >*)
  0.00      0.50     0.00   100035     0.00     0.00  void std::_Destroy<std::multiset<int, std::less<int>, std::allocator<int> > >(std::multiset<int, std::less<int>, std::allocator<int> >*)
  0.00      0.50     0.00    99767     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.50     0.00    45321     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::empty() const
  0.00      0.50     0.00    45321     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::empty() const
  0.00      0.50     0.00       44     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.50     0.00       37     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.50     0.00       32     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::base() const
  0.00      0.50     0.00       30     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.50     0.00       25     0.00     0.00  std::reverse_iterator<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::reverse_iterator(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00      0.50     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::~new_allocator()
  0.00      0.50     0.00       24     0.00     0.00  std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::~allocator()
  0.00      0.50     0.00       24     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00      0.50     0.00       22     0.00     0.00  bool __gnu_cxx::operator==<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.50     0.00       22     0.00     0.00  std::vector<int, std::allocator<int> >::begin() const
  0.00      0.50     0.00       20     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.50     0.00       20     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.50     0.00       18     0.00     0.00  unsigned long* std::__addressof<unsigned long>(unsigned long&)
  0.00      0.50     0.00       18     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.50     0.00       17     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.50     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::new_allocator(__gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > > const&)
  0.00      0.50     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::_M_max_size() const
  0.00      0.50     0.00       16     0.00     0.00  std::vector<int, std::allocator<int> >::rend() const
  0.00      0.50     0.00       16     0.00     0.00  std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > >::allocator(std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > const&)
  0.00      0.50     0.00       16     0.00     0.00  std::_Vector_base<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.00      0.50     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.50     0.00       16     0.00     0.00  bool std::operator==<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(std::reverse_iterator<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > > const&, std::reverse_iterator<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > > const&)
  0.00      0.50     0.00       16     0.00     0.00  bool std::operator!=<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(std::reverse_iterator<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > > const&, std::reverse_iterator<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > > const&)
  0.00      0.50     0.00       14     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.50     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::operator--()
  0.00      0.50     0.00       14     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.50     0.00       14     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::empty() const
  0.00      0.50     0.00       14     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.50     0.00       14     0.00     0.00  std::operator==(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.50     0.00       13     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::size() const
  0.00      0.50     0.00       13     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::size() const
  0.00      0.50     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00      0.50     0.00       12     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00      0.50     0.00       12     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00      0.50     0.00       12     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00      0.50     0.00       12     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00      0.50     0.00       12     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.50     0.00       11     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.50     0.00       11     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator(std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.50     0.00       10     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.50     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.50     0.00       10     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.50     0.00       10     0.00     0.00  std::_Rb_tree_const_iterator<int>::_M_const_cast() const
  0.00      0.50     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.50     0.00       10     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.50     0.00       10     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
